tool,th,th_class
CADD_PHRED,15,above
phyloP100way_vertebrate,-8.51,above
phyloP100way_vertebrate,-7.52,above
phyloP100way_vertebrate,-6.53,above
phyloP100way_vertebrate,-5.54,above
phyloP100way_vertebrate,-4.54,above
phyloP100way_vertebrate,-3.55,above
phyloP100way_vertebrate,-2.56,above
phyloP100way_vertebrate,-1.57,above
phyloP100way_vertebrate,-0.58,above
phyloP100way_vertebrate,0.42,above
phyloP100way_vertebrate,1.41,above
phyloP100way_vertebrate,2.4,above
phyloP100way_vertebrate,3.39,above
phyloP100way_vertebrate,4.38,above
phyloP100way_vertebrate,5.37,above
phyloP100way_vertebrate,6.36,above
phyloP100way_vertebrate,7.36,above
phyloP100way_vertebrate,8.35,above
phyloP100way_vertebrate,9.34,above
phyloP30way_mammalian,-5.86,above
phyloP30way_mammalian,-5.46,above
phyloP30way_mammalian,-5.06,above
phyloP30way_mammalian,-4.67,above
phyloP30way_mammalian,-4.27,above
phyloP30way_mammalian,-3.87,above
phyloP30way_mammalian,-3.47,above
phyloP30way_mammalian,-3.07,above
phyloP30way_mammalian,-2.67,above
phyloP30way_mammalian,-2.28,above
phyloP30way_mammalian,-1.88,above
phyloP30way_mammalian,-1.48,above
phyloP30way_mammalian,-1.08,above
phyloP30way_mammalian,-0.68,above
phyloP30way_mammalian,-0.28,above
phyloP30way_mammalian,0.11,above
phyloP30way_mammalian,0.51,above
phyloP30way_mammalian,0.91,above
phyloP30way_mammalian,1.31,above
phastCons30way_mammalian,0,above
phastCons30way_mammalian,0.06,above
phastCons30way_mammalian,0.11,above
phastCons30way_mammalian,0.17,above
phastCons30way_mammalian,0.22,above
phastCons30way_mammalian,0.28,above
phastCons30way_mammalian,0.33,above
phastCons30way_mammalian,0.39,above
phastCons30way_mammalian,0.44,above
phastCons30way_mammalian,0.5,above
phastCons30way_mammalian,0.56,above
phastCons30way_mammalian,0.61,above
phastCons30way_mammalian,0.67,above
phastCons30way_mammalian,0.72,above
phastCons30way_mammalian,0.78,above
phastCons30way_mammalian,0.83,above
phastCons30way_mammalian,0.89,above
phastCons30way_mammalian,0.94,above
phastCons30way_mammalian,1,above
phastCons17way_primate,0,above
phastCons17way_primate,0.06,above
phastCons17way_primate,0.11,above
phastCons17way_primate,0.17,above
phastCons17way_primate,0.22,above
phastCons17way_primate,0.28,above
phastCons17way_primate,0.33,above
phastCons17way_primate,0.39,above
phastCons17way_primate,0.44,above
phastCons17way_primate,0.5,above
phastCons17way_primate,0.56,above
phastCons17way_primate,0.61,above
phastCons17way_primate,0.67,above
phastCons17way_primate,0.72,above
phastCons17way_primate,0.78,above
